testName,testCode,mainCategory,category,sampleType,pretestPreparation,standardMRP,parameters,faqs,detailedDescription
Nerve Conduction Study,NCS070,Neurology,Nerve Function,NA,No lotion before test,3500,Nerve Signals,Why NCS?:Nerve damage || Electric pulses?:Yes,Overview:Nerve signal measurement || Usage:Neuropathy diagnosis
EEG,EEG071,Neurology,Brain Activity,NA,Wash hair before test,2500,Brain Waves,Why EEG?:Seizures || Sleep?:Sometimes required,Overview:Brain electrical activity || Usage:Epilepsy diagnosis
Holter Monitoring,HOL072,Cardiology,Heart Monitoring,NA,Normal daily activities,2200,24 Hour ECG,Why Holter?:Heart rhythm || Duration?:24 hours,Overview:Continuous ECG || Usage:Arrhythmia detection
ABPM,ABP073,Cardiology,Blood Pressure,NA,Normal routine,1800,24 Hour BP,Why ABPM?:Blood pressure trends || Duration?:24 hours,Overview:Continuous BP monitoring || Usage:Hypertension assessment
Stress Echo,STE074,Cardiology,Heart Stress,NA,Light meal only,3200,Heart Function Under Stress,Why stress echo?:Heart performance || Exercise?:Required,Overview:Exercise heart assessment || Usage:Coronary artery disease
DEXA Body Composition,DEX075,Fitness,Body Composition,NA,No metal accessories,2500,Fat Percentage || Muscle Mass,Why DEXA?:Body composition || Athletes?:Useful,Overview:Body composition scan || Usage:Fitness analysis
VO2 Max Test,VO2076,Fitness,Performance,NA,Avoid heavy meal before test,3500,VO2 Max,Why test?:Fitness level || Exercise?:Yes,Overview:Oxygen utilisation test || Usage:Athletic performance
Skin Patch Test,SKP077,Dermatology,Allergy,Skin,Avoid antihistamines,2800,Allergen Response,Why patch test?:Skin allergy || Itching?:Possible,Overview:Skin allergy assessment || Usage:Contact dermatitis
Dermoscopy,DER078,Dermatology,Skin Examination,NA,No preparation,1200,Skin Lesion Analysis,Why dermoscopy?:Moles || Cancer?:Detection aid,Overview:Magnified skin examination || Usage:Skin lesion evaluation
Patch Allergy Test,PAT079,Dermatology,Allergy,Skin,Avoid steroid creams,3000,Allergen Panels,Why allergy patch?:Identify allergens || Safe?:Yes,Overview:Allergy panel || Usage:Skin allergy diagnosis
Dental X Bite Analysis,DEN080,Dentistry,Bite Analysis,NA,No preparation,1000,Bite Alignment,Why test?:Jaw alignment || Pain?:No,Overview:Dental bite assessment || Usage:Orthodontic planning
Oral Cancer Screening,ORC081,Dentistry,Oral Health,Oral Cavity,Avoid tobacco before exam,1500,Oral Tissue Examination,Why screening?:Cancer detection || Smokers?:Recommended,Overview:Oral examination || Usage:Early cancer detection
Saliva Hormone Test,SAL082,Endocrinology,Hormones,Saliva,Avoid eating 30 minutes before,1800,Cortisol || DHEA,Why saliva?:Hormone monitoring || Fasting?:Not required,Overview:Hormone analysis || Usage:Stress assessment
Basal Metabolic Rate Test,BMR083,Nutrition,Metabolism,NA,Fasting 4 hours,1800,Calories Burned At Rest,Why BMR?:Diet planning || Exercise?:No before test,Overview:Metabolic assessment || Usage:Weight management
Indirect Calorimetry,IND084,Nutrition,Metabolism,NA,Fasting required,3200,Energy Expenditure,Why test?:Metabolism || Accurate?:Yes,Overview:Measures calorie burn || Usage:Nutrition planning
Food Intolerance Test,FIT085,Nutrition,Food Sensitivity,Blood,No preparation,5500,Food Sensitivity Panel,Why test?:Food reactions || Allergy?:Different,Overview:Food sensitivity analysis || Usage:Diet planning
Bone Age Assessment,BOA086,Orthopedics,Growth,NA,No preparation,2200,Skeletal Maturity,Why bone age?:Growth evaluation || Children?:Mostly,Overview:Growth assessment || Usage:Pediatric growth
Gait Analysis,GAI087,Orthopedics,Movement,NA,Wear comfortable shoes,3500,Walking Pattern,Why gait analysis?:Walking issues || Athletes?:Useful,Overview:Movement analysis || Usage:Orthopedic assessment
Foot Pressure Analysis,FPA088,Orthopedics,Foot Health,NA,No preparation,1800,Pressure Distribution,Why test?:Foot pain || Insoles?:Planning,Overview:Foot pressure mapping || Usage:Biomechanics
Vestibular Function Test,VES089,ENT,Balance,NA,Avoid dizziness medicines,2800,Balance Response,Why test?:Vertigo || Safe?:Yes,Overview:Balance system assessment || Usage:Vertigo diagnosis
Laryngoscopy,LAR090,ENT,Voice Box,NA,Avoid eating before procedure,3000,Vocal Cord Examination,Why laryngoscopy?:Voice issues || Pain?:Minimal,Overview:Voice box examination || Usage:Hoarseness evaluation
Nasal Endoscopy,NAS091,ENT,Nasal Cavity,NA,No preparation,2200,Nasal Passage Inspection,Why nasal endoscopy?:Sinus issues || Sedation?:Usually no,Overview:Nasal examination || Usage:Sinus disorders
Fertility Ultrasound Monitoring,FUM092,Fertility,Ovulation,NA,Full bladder if advised,1800,Follicle Monitoring,Why monitoring?:Ovulation || Multiple visits?:Yes,Overview:Fertility tracking || Usage:IVF planning
Embryo Transfer Assessment,ETA093,Fertility,IVF,NA,Follow IVF instructions,4000,Uterine Assessment,Why assessment?:IVF success || Pain?:Minimal,Overview:Transfer planning || Usage:IVF treatment
Occupational Health Assessment,OHA094,Occupational Medicine,Work Fitness,NA,No preparation,2500,Vision || Hearing || Fitness,Why assessment?:Job fitness || Mandatory?:Sometimes,Overview:Fitness evaluation || Usage:Employment screening
Pre-Employment Medical,PEM095,Occupational Medicine,Health Check,Blood,Overnight fasting preferred,3500,CBC || ECG || Vision,Why PEM?:Employment || Includes?:Multiple tests,Overview:Medical fitness || Usage:Job screening
Executive Wellness Assessment,EWA096,Preventive Medicine,Health Screening,Blood,Fasting required,6500,Multiple Health Indicators,Why executive check?:Preventive care || Annual?:Recommended,Overview:Comprehensive screening || Usage:Health monitoring
Travel Fitness Certificate,TFC097,Travel Medicine,Travel Health,NA,Carry ID proof,1200,General Fitness,Why certificate?:Travel clearance || Validity?:Depends,Overview:Travel health assessment || Usage:Fitness certification
Vaccination Eligibility Assessment,VEA098,Immunisation,Vaccination,NA,Carry vaccination records,800,Medical Review,Why assessment?:Safe vaccination || History?:Needed,Overview:Pre-vaccination assessment || Usage:Immunisation planning
Sports Fitness Assessment,SFA099,Sports Medicine,Fitness,NA,Avoid strenuous exercise before test,3000,Strength || Flexibility || Endurance,Why sports assessment?:Performance || Athletes?:Recommended,Overview:Fitness evaluation || Usage:Sports readiness
Concussion Assessment,CNC100,Sports Medicine,Head Injury,NA,No preparation,2800,Neurological Evaluation,Why assessment?:Head injury || Sports?:Common,Overview:Brain injury evaluation || Usage:Concussion diagnosis
