packageName,mainCategory,category,tests,sampleTypes,reportTime,isFastingRequired,fastingDuration,preparations,gender,ageGroup,tags,standardMRP,shortDescription,faqs,detailedDescription
Liver Care Package,Pathology,Liver,LFT || Bilirubin,Blood,24 Hours,TRUE,10 hours,Avoid alcohol,Both,All,Liver,1300,Liver check,Why?:Liver issues || Alcohol?:Avoid,Benefits:Liver health || Who:Adults
Kidney Care Package,Pathology,Kidney,KFT || Uric Acid,Blood,24 Hours,FALSE,,No prep,Both,All,Kidney,1400,Kidney monitoring,Why?:Kidney health || Water?:Normal,Benefits:Kidney check || Who:All
Bone Health Package,Pathology,Bone,Calcium || Vitamin D,Blood,24 Hours,FALSE,,No prep,Both,All,Bone,1600,Bone strength,Why?:Weak bones || Age?:30+,Benefits:Bone check || Who:All
Vitamin Check Package,Pathology,Vitamins,Vitamin D || B12,Blood,24 Hours,FALSE,,No prep,Both,All,Vitamin,1700,Vitamin levels,Why?:Deficiency || Symptoms?:Weakness,Benefits:Energy || Who:All
Cancer Screening Basic,Pathology,Cancer,PSA || Pap Smear,Blood || Cervical,48 Hours,FALSE,,No prep,Both,30+,Cancer,3000,Cancer screening,Why?:Early detection || Safe?:Yes,Benefits:Prevention || Who:Adults
Pregnancy Care Package,Pathology,Women,CBC || Thyroid || Sugar,Blood,24 Hours,FALSE,,No prep,Female,18+,Pregnancy,2000,Pregnancy check,Why?:Mother health || Baby?:Yes,Benefits:Monitoring || Who:Pregnant
Full Body Platinum Package,Pathology,Full Body,CBC || LFT || KFT || Lipid || Thyroid,Blood || Urine,24 Hours,TRUE,12 hours,Fasting required,Both,All,Premium,6000,Advanced health check,Why?:Full screening || Accurate?:Yes,Benefits:Detailed || Who:All
Cardiac Risk Package,Pathology,Heart,ECG || Troponin || Lipid,Blood,24 Hours,TRUE,10 hours,No smoking,Both,30+,Heart,2500,Heart risk test,Why?:Heart attack risk || Urgent?:Yes,Benefits:Prevention || Who:Adults
Obesity Package,Pathology,Lifestyle,Sugar || Lipid || Thyroid,Blood,24 Hours,TRUE,10 hours,Diet control,Both,18+,Fitness,1800,Weight analysis,Why?:Obesity || Diet?:Yes,Benefits:Weight control || Who:All
Pre-Employment Package,Pathology,General,CBC || Urine || HIV,Blood || Urine,24 Hours,FALSE,,No prep,Both,18+,Corporate,1200,Job checkup,Why?:Employment || Mandatory?:Yes,Benefits:Screening || Who:Employees
Radiology Basic Package,Radiology,Imaging,X-Ray Chest || Ultrasound,NA,24 Hours,FALSE,,Remove metal,Both,All,Radiology,2000,Basic imaging,Why?:Internal check || Safe?:Yes,Benefits:Imaging || Who:All
Full Body Scan Package,Radiology,Full Body,MRI || CT Scan,NA,48 Hours,TRUE,6 hours,No food,Both,All,Premium,12000,Full scan,Why?:Detailed scan || Cost?:High,Benefits:Advanced || Who:All
Women Radiology Package,Radiology,Women,Mammography || USG Pelvis,NA,24 Hours,FALSE,,No deodorant,Female,30+,Women,3500,Breast & pelvis scan,Why?:Women health || Pain?:Low,Benefits:Detection || Who:Women
Brain Scan Package,Radiology,Brain,MRI Brain || CT Brain,NA,24 Hours,FALSE,,No prep,Both,All,Neuro,5000,Brain analysis,Why?:Head injury || Accurate?:Yes,Benefits:Diagnosis || Who:All
Spine Check Package,Radiology,Bone,MRI Spine || X-Ray Spine,NA,24 Hours,FALSE,,Remove metal,Both,All,Ortho,4500,Back pain check,Why?:Spine issues || Pain?:No,Benefits:Spine health || Who:All
Chest Scan Package,Radiology,Lungs,CT Chest || X-Ray Chest,NA,24 Hours,TRUE,6 hours,No smoking,Both,All,Lungs,4000,Lung health,Why?:Lung disease || COVID?:Yes,Benefits:Detection || Who:All
Executive Health Package,Pathology,Full Body,CBC || LFT || KFT || Lipid || Sugar,Blood,24 Hours,TRUE,10 hours,Light dinner,Both,30+,Executive,5500,Corporate health,Why?:Busy life || Check?:Yes,Benefits:Full check || Who:Professionals
Fitness Package,Pathology,Lifestyle,Sugar || Vitamin || Thyroid,Blood,24 Hours,TRUE,8 hours,Diet control,Both,18+,Fitness,2000,Fitness tracking,Why?:Gym users || Needed?:Yes,Benefits:Performance || Who:Youth
Anemia Package,Pathology,Blood,CBC || Iron || Ferritin,Blood,24 Hours,FALSE,,No prep,Both,All,Anemia,1500,Blood deficiency,Why?:Low Hb || Symptoms?:Weakness,Benefits:Treatment || Who:All
